name,rating,bestin,swiggy,zomato,uber_eats,item1,item2,item3,item4,cost1,cost2,cost3,cost4,img
Rugantino Restaurant,*,Parottas,10,9,20,parotta,muttoncurry,chickencurry,briyani,15,150,150,180,https://images.unsplash.com/photo-1527224538127-2104bb71c51b?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=500&q=60
The Courtyard Restaurant,**,Noddles,20,8,15,chicken noddles,mutton noodles,schezwan noodles,boti noodles,90,100,90,120,https://images.unsplash.com/photo-1484156818044-c040038b0719?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=500&q=60
Andre's Cafe,***,Rices,45,7,58,fried rice,chicken friedrice,mutton friedrice,beef friedrice,70,90,100,90,https://images.unsplash.com/photo-1498654896293-37aacf113fd9?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=500&q=60
The Greek Taverna,****,Non-Veg,15,10,7,mutton,chicken,beef,fish,120,100,80,70,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=500&q=60
Viscor's Close,*****,Chappathi,8,19,15,chappathi,kuruma,boti,mutton,15,50,120,120,https://images.unsplash.com/photo-1533777857889-4be7c70b33f7?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=500&q=60
GoodFellows,***,butter dosa,12,15,18,plain roast,masala dosa,peper dosa,onion dosa,45,60,70,90,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=500&q=60
ASK Italina-wells,**,aalu idly,63,16,17,idly,aalu idly,peper idly,mini idly,15,30,45,30,https://images.unsplash.com/photo-1466978913421-dad2ebd01d17?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=500&q=60
The Fountain Inn Gastro,****,pepper fry,85,18,19,mutton peper fry,chicken peper fry,roast,chicken roast,90,80,100,90,https://images.unsplash.com/photo-1525610553991-2bede1a236e2?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=500&q=60
Wookey Hole,*****,ghee roast,100,50,80,paper ghee roast,masala ghee roast,plain ghee roast,chicken roast,60,70,50,100https://images.unsplash.com/photo-1555396273-367ea4eb4db5?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=500&q=60
Upper Milton,***,Pongals,25,10,23,venpongal,bun pongal,roti,mutton curry,45,50,40,120,https://images.unsplash.com/photo-1521017432531-fbd92d768814?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=500&q=60
